,tac0,tac1,tac2,tac3,sigma0,sigma1,sigma2,sigma3
261,-2.219431,-1.9740489,-1.5361553,-1.1695794,1.2557585,1.1366532,1.1295025,1.1900721
262,-2.8961434,-2.6301317,-2.3379235,-2.071806,1.056232,1.0160776,1.0346344,1.0998436
263,-1.6142133,-1.2479007,-0.95841724,-0.6369748,1.2912322,1.2052695,1.3070456,1.3001515
264,-1.9750552,-1.6808783,-1.4396232,-1.200486,1.0171005,1.0055431,1.0131295,1.0753274
265,-3.22054,-3.0697882,-2.7054203,-2.513607,1.2674904,1.1006691,1.5160016,1.3542631
266,-2.789812,-2.708152,-2.4393458,-2.2345,1.2163043,1.1534214,1.2035332,1.1364403
267,-1.939909,-1.6464642,-1.483065,-1.2043514,1.0768206,1.2046721,1.1689407,1.0936456
268,-2.270347,-2.0383956,-1.7590541,-1.5683249,1.1321247,1.1200287,1.0462208,1.1270666
269,-1.72725,-1.4592363,-1.3746037,-1.0475702,1.0084573,1.0947487,1.0647322,1.0298618
270,-3.4717677,-3.192663,-2.994338,-2.7147973,0.9105617,0.85865486,0.8776471,0.89266676
271,-2.774609,-2.6765041,-2.27909,-2.3556607,1.4450548,1.3830391,1.4810927,1.6302056
272,-2.716013,-2.4442062,-2.2166567,-1.9093423,0.8246482,0.8264896,0.83637303,0.89333963
273,-2.6690788,-2.4388673,-2.289837,-1.9644347,0.86087507,0.9266418,0.8547688,0.9790076
274,-2.4691005,-2.1556766,-2.070312,-1.9885166,1.1509866,1.1566935,1.2337295,1.2555305
275,-3.4296253,-3.3150475,-3.0645223,-2.664929,1.0853434,0.96051145,1.033544,1.0989938
276,-1.9319268,-1.7474563,-1.5010775,-1.1864787,1.0516634,1.0725274,1.0759083,1.0634477
277,-2.9129546,-2.7493155,-2.4722986,-2.2495377,1.1822624,1.0852563,1.1503351,1.1216124
278,-3.4060388,-3.2032304,-2.9976854,-2.838064,0.93519837,0.93478256,0.90242547,1.0145564
279,-2.1435533,-1.9919524,-1.7000623,-1.5375887,0.8847212,0.8530883,0.81038284,0.978488
280,-2.8784523,-2.7815986,-2.604439,-2.2050529,0.88667923,0.68501407,0.7188746,0.82629806
281,-2.1785536,-1.9173808,-1.6154757,-1.4292884,1.0267993,1.0226444,1.0096567,0.96924305
282,-2.9973855,-2.6766443,-2.4205575,-2.1963642,0.8477116,0.7721348,0.7911786,0.8076207
283,-1.8216307,-1.6115134,-1.5699037,-1.1017998,1.0113068,1.142996,1.04044,0.92127305
284,-2.3973117,-2.0161877,-1.9000455,-1.712448,0.9784961,1.0039396,0.9221081,0.91112864
285,-2.3071818,-2.1080647,-1.8444797,-1.532738,0.9928958,0.9890228,0.9616418,1.0682119
286,-3.9144294,-3.6554806,-3.4781168,-3.2167695,1.1187264,0.88521063,0.93090713,0.9225157
287,-2.4104435,-2.2081017,-1.8779392,-1.7437772,0.95506585,0.8393828,0.8331726,0.83772016
288,-1.7434593,-1.3815151,-1.0935093,-0.931795,0.695133,0.66439664,0.71094704,0.7101819
289,-1.6225295,-1.4546785,-1.1447451,-0.9633905,0.74110466,0.68270594,0.65921617,0.67864364
290,-1.1084067,-0.7604005,-0.55047977,-0.17296192,1.073364,1.1074803,1.0659686,1.2308358
291,-1.5645946,-1.2415128,-1.1358354,-0.8169222,0.96238077,0.8680408,0.93860936,0.86978614
292,-3.1219757,-2.7960274,-2.6002645,-2.248658,0.7508204,0.74282646,0.7381243,0.73717284
293,-1.6796288,-1.4776146,-1.1604863,-0.85436237,0.7695267,0.7632304,0.76291394,0.80302894
294,-2.3369777,-1.803925,-1.5445806,-1.2297992,0.8835703,0.87186146,0.8080433,0.92546546
295,-1.1332879,-0.7381784,-0.46953228,-0.20010339,0.8055613,0.8292533,0.81281286,0.7633297
296,-2.0030997,-1.6827978,-1.4167398,-1.066335,0.7810103,0.79638475,0.7394683,0.8094166
297,-2.1329725,-1.792266,-1.5738343,-1.1811831,0.6331434,0.64659315,0.70474315,0.6983548
298,-1.3535281,-0.9925347,-0.79271597,-0.67992824,0.8590738,0.8424547,0.8456899,0.8943266
299,-2.0608692,-1.8198906,-1.5893121,-1.322724,0.71258307,0.73316723,0.6852838,0.82874316
300,-2.0533469,-1.7319754,-1.5081973,-1.2728702,0.75373334,0.7329157,0.715509,0.7357197
301,-1.6806331,-1.5156958,-1.1320858,-1.071743,0.8297637,0.8245421,0.78866017,0.9487804
