,tac0,tac1,tac2,tac3,sigma0,sigma1,sigma2,sigma3
80,-1.5498297,-1.386785,-1.2391119,-0.88954556,1.2626294,1.308253,1.1328729,1.2127762
81,-2.668538,-2.4520533,-2.3256526,-2.3347785,1.3126106,1.0417068,0.98980033,0.8554598
82,-3.3611627,-3.2644775,-2.979952,-2.57065,1.2456508,1.0664247,1.1332533,1.1982161
83,-2.3888512,-2.0206947,-1.9168543,-1.8103358,1.068563,1.1842393,1.2191073,1.3425038
84,-2.0351253,-1.7531029,-1.4223899,-1.3010402,1.1237621,1.1698675,1.220511,1.1224537
85,-1.6856904,-1.5962918,-1.2402946,-1.1312057,0.9434848,0.95700836,1.0215646,1.0249975
86,-1.6255976,-1.438703,-1.178005,-0.86332667,0.8972683,0.98331875,0.9266243,0.9321262
87,-4.3390384,-3.9991422,-3.8338864,-3.8712642,1.2566241,1.4064066,1.2763225,1.1723306
88,-2.0917547,-1.8817432,-1.5962998,-1.3058348,0.92149895,0.92743945,0.88492364,0.9357725
89,-3.0078218,-2.900198,-2.823858,-2.719064,1.8499212,1.0233802,1.0372933,1.0617539
90,-1.5075278,-1.2398361,-1.0508641,-0.78957754,0.77335453,0.8412763,0.87643355,0.8860859
91,-2.3116643,-2.0430381,-1.7757466,-1.5362735,1.1336911,1.0530782,1.2351698,1.1173646
92,-1.9661014,-1.7712399,-1.4957185,-1.4133568,1.2970603,1.202905,1.5517391,1.4364724
93,-2.4032137,-2.234947,-2.0391998,-1.8846356,1.3434832,1.0632843,1.0560443,1.1696514
94,-3.56978,-3.3747795,-3.0844173,-3.071576,1.2957537,1.2767727,1.2128881,1.395427
95,-1.6487268,-1.4861807,-1.3363845,-1.1783571,1.3195511,1.1418351,1.3669454,1.3440368
96,-2.2776341,-2.123493,-1.9248109,-1.7403923,0.8677575,0.8138641,0.91677004,1.0458945
97,-2.9423153,-2.5966625,-2.2586374,-2.2447128,0.9967234,0.9609134,0.9839411,1.001461
98,-1.6343734,-1.4322412,-1.390264,-1.1654531,0.9510756,0.83811677,0.9020748,0.8572416
99,-2.77377,-2.515966,-2.233257,-2.2283146,0.83790624,0.8699259,0.91451734,1.0074139
100,-1.5980257,-1.4473226,-1.1381893,-0.8699415,0.8830894,0.6632008,1.0111918,0.75283206
101,-2.227645,-2.0249403,-1.6131997,-1.4585519,1.1179386,1.0135249,0.99212617,1.0881561
102,-1.8158847,-1.6307644,-1.4967018,-1.2610751,0.8698801,1.0084655,0.8534661,0.8553416
103,-1.6247536,-1.4868437,-1.0704839,-1.0229021,1.0970138,0.81112605,1.0355968,0.96018964
104,-2.19488,-1.8024734,-1.5707608,-1.2824593,0.9429109,0.82699895,0.8757754,1.4760484
105,-1.6860527,-1.4979482,-1.4060061,-1.3063054,0.9557858,0.855441,0.9078295,0.8743433
106,-2.8762112,-2.5501704,-2.5671759,-2.5195427,1.105534,1.0052187,0.910904,1.0534207
107,-1.2898188,-0.7597705,-0.6682162,-0.61382174,1.0600578,1.0435156,1.0189358,0.9681914
108,-1.8390511,-1.5802478,-1.4413064,-1.21912,1.0013092,0.9755291,1.09802,0.9679192
109,-1.0377171,-0.7544593,-0.59796524,-0.58168066,1.0468246,0.99128324,1.5089446,0.96545726
110,-2.0500858,-1.7700404,-1.652254,-1.3208941,0.86261255,1.3201491,0.8593228,1.8274022
111,-2.4735684,-2.23641,-1.9314758,-1.7689066,1.0269364,1.043515,0.93852377,1.2037812
112,-2.003913,-1.8609879,-1.4796572,-1.3073317,0.95576835,0.83867526,0.85459644,0.89609504
113,-2.1781402,-1.9778503,-1.7390733,-1.590226,0.8076397,0.7397724,0.7729233,0.99708223
114,-1.3929152,-1.1394026,-0.99760514,-0.89700013,0.95785403,0.8914556,0.8506528,0.9882175
115,-2.030011,-1.4396527,-1.2550448,-1.1443069,1.0080446,0.99886405,1.170544,0.900854
116,-1.2552038,-0.9659591,-0.76677126,-0.65641826,1.0629009,1.00355,1.2213084,1.0775598
117,-0.4634833,-0.273559,-0.17834176,0.24686071,1.0183998,1.0304768,1.0111653,0.9824989
118,-2.1700642,-1.9938929,-1.6275471,-1.4708561,0.9902193,0.86776596,0.95706433,1.0095266
119,-1.5338237,-1.0829967,-0.99718946,-0.7459086,0.7994501,1.0109599,0.93630636,0.85864717
120,-1.7635175,-1.4460145,-1.3259077,-0.93498963,1.0609447,1.1150169,0.9642386,1.1951573
121,-1.9869471,-1.839904,-1.6155257,-1.5911429,0.961244,0.8551031,0.8507087,0.86802506
122,-1.6023251,-1.3970681,-1.3532286,-1.169629,1.1917664,1.3318484,1.0156342,1.0728465
123,-1.6501279,-1.3695555,-1.2248366,-0.94901365,0.9949345,1.0088756,0.9330633,1.2786891
124,-1.2027969,-0.8380064,-0.7270732,-0.43108582,0.9567349,1.3493721,0.93842965,1.0766726
125,-3.0628793,-2.8125901,-2.4467993,-2.487496,1.2697161,1.7822973,1.2133607,1.1604537
126,-1.5152793,-1.2112502,-1.0740453,-0.9199725,0.8934212,0.93019605,1.0491925,1.0055662
127,-1.031191,-0.83154637,-0.5894334,-0.2899346,0.7966654,0.9355925,0.8387949,0.86076725
128,-1.2735367,-0.8238149,-0.7501202,-0.6761476,0.90886426,0.9286538,0.8565975,0.9327616
129,-1.537972,-1.276552,-1.0572175,-0.783635,0.8679136,0.9428509,0.9559475,0.8891294
130,-1.7637209,-1.5882322,-1.4030968,-0.950681,1.0150325,0.95194495,0.88413745,1.2843393
131,-1.8148668,-1.6766801,-1.4109628,-1.225292,1.0311012,0.86103886,0.7877906,0.7302349
132,-2.5248003,-2.3010442,-1.913273,-1.819098,0.8291025,0.8028057,0.87718195,0.82951397
133,-2.3102605,-2.0515313,-1.8457044,-1.5650789,0.8906961,0.89351785,0.8405937,1.0385779
134,-2.2509546,-1.9439249,-1.8000522,-1.587567,0.73681283,0.7905756,0.7620059,0.7587954
135,-2.6078472,-2.355637,-2.067545,-1.7899557,0.8801139,1.0036734,1.0097951,1.3059175
136,-2.6070192,-2.4257636,-2.0119674,-1.919519,0.82885355,0.79022604,0.7942386,0.7654
137,-2.027219,-1.8313057,-1.7882203,-1.461232,1.1663446,1.3270382,0.9934523,1.062535
138,-2.187294,-1.9018666,-1.7416681,-1.5742159,0.7858885,0.7823722,0.8342513,0.82077837
139,-2.3289974,-2.0102007,-1.9188026,-1.5516987,0.868932,1.0259951,0.7921118,0.9913144
