,tac0,tac1,tac2,tac3,sigma0,sigma1,sigma2,sigma3
302,-1.2338439,-0.74337715,-0.53790337,-0.3453619,0.8066156,0.78706497,0.89436036,0.77182597
303,-1.5810541,-1.1081655,-0.93014044,-0.5815982,0.8097994,0.7637663,0.7536564,0.88725954
304,-1.5426049,-0.99474525,-0.85189354,-0.63511795,1.3245107,1.3893367,1.2552688,1.3277111
305,-1.6283339,-1.2510455,-0.9637,-0.7815134,0.72798043,0.7386852,0.6825079,0.7837346
306,-1.7995244,-1.5612068,-1.1503783,-1.0455836,0.8947327,0.7494462,0.7630812,0.8345288
307,-1.8088697,-1.4933375,-1.3049446,-1.0195564,0.8529438,0.86728114,0.92905384,0.94756526
308,-0.62581813,-0.27885905,-0.09477913,0.15371327,1.5477368,1.0203747,0.8784262,0.9944735
309,-1.0039532,-0.67863375,-0.549174,-0.33557308,0.80498946,0.80209476,0.8712147,0.8788965
310,-1.2003211,-0.64912105,-0.47383034,-0.15650651,1.0286881,0.94684076,0.98336154,1.0433486
311,-1.2539684,-1.0434694,-0.7960035,-0.61964333,1.1026692,1.1276932,1.0275145,1.2187648
312,-1.8558469,-1.5459595,-1.3447855,-1.0293272,0.9219479,0.88952744,0.9014955,0.9075169
313,-0.28947628,0.09631041,0.19407386,0.5386016,1.1612767,1.3559632,1.1906785,1.2216966
314,-2.2578259,-2.0499809,-1.8136064,-1.4754345,0.8930367,0.7007351,0.7442154,0.7340559
315,-1.195896,-0.67022413,-0.55094695,-0.34565684,0.9471217,1.4914012,0.9002411,0.9524519
316,-0.90961003,-0.63662404,-0.551017,-0.28998777,0.92683375,0.92184365,0.9020575,1.0132272
317,-1.5408741,-1.3227636,-1.1030159,-0.9039496,0.841018,0.87230587,0.8794292,0.83702755
318,-1.390547,-1.2557477,-1.193659,-0.81013423,0.82430804,0.94886005,0.8773987,1.0381812
319,-0.72497255,-0.23934507,-0.08783438,0.20882061,1.024632,1.0183762,0.99093235,1.0769432
320,-1.1510792,-0.8697926,-0.7599158,-0.6343949,1.252338,0.8134225,0.8757752,0.86017025
321,-1.0205628,-0.5651105,-0.42459428,-0.2659514,0.92116326,0.9076787,0.93435377,1.0225655
322,-0.94302,-0.6061862,-0.5017697,-0.35550874,1.142211,1.1603866,1.2526025,1.1112298
323,-1.1679186,-0.9245398,-0.64928615,-0.4003532,1.1415093,1.0677048,1.066044,1.0740813
324,-1.324791,-1.0650382,-0.9265788,-0.6561614,0.81559694,0.7658797,0.78414637,0.85813475
325,-1.6591834,-1.2346288,-0.8704798,-0.8121105,0.8253191,0.8258829,0.9833383,0.8670142
326,-1.6971055,-1.1992159,-0.790861,-0.6362346,0.9745819,0.86416954,0.93058133,0.9710966
327,-2.0329707,-1.6954046,-1.6125584,-1.4735641,0.94575655,0.90333873,0.98304456,1.0260373
328,-0.8467824,-0.5692532,-0.4105361,-0.1806631,1.0705776,1.1216612,1.1115948,1.1197908
329,-0.76340854,-0.4110457,-0.39096102,0.0068655345,0.92956084,0.9072109,0.89573216,0.97337115
330,-0.77620417,-0.4591457,-0.2775636,0.033677567,1.1412781,1.1981194,1.0652939,1.127168
331,-1.5413983,-1.2924571,-0.9752952,-0.84272224,1.0441568,0.9509468,1.1111522,0.92514825
332,-1.5770326,-1.2632527,-0.94203156,-0.9956981,0.95666707,1.0043627,1.0497632,1.1142465
333,-2.0962317,-1.7670635,-1.6195134,-1.5566223,1.0147818,1.0726764,0.96200746,0.96058524
