,tac0,tac1,tac2,tac3,sigma0,sigma1,sigma2,sigma3
58,0.7901664,0.74989796,0.68347883,0.7029396,1.6469599,1.5509099,1.4047502,1.5908478
59,0.852052,0.76380384,0.744691,0.8357903,1.6085128,1.6056331,1.783666,1.7606277
60,0.6836982,0.6001729,0.64443904,0.608796,1.1860051,1.3183464,1.3503325,1.316042
61,0.5189433,0.55376315,0.57636076,0.4987058,1.0835321,1.1067858,1.5223966,1.2681811
62,0.6196363,0.5827185,0.54398966,0.75465554,1.7630838,1.2706656,1.410903,1.4469495
63,0.65900826,0.6688849,0.5306581,0.61813235,2.4391491,1.4920478,1.9278406,2.1761525
64,1.1856005,1.272327,1.2376046,1.3031003,1.7957139,3.3334227,2.123861,2.3141346
65,0.7609209,0.7241496,0.6010065,0.7594243,1.5977082,1.725721,1.444681,1.6727778
66,1.1357478,1.2340754,1.0609441,1.1534415,2.0586317,2.8111875,2.1561596,2.4612103
67,1.0988005,0.9228306,0.9983096,0.9536958,1.8863144,1.7886529,1.8058074,2.0200772
68,1.0729762,1.0125039,1.045654,1.0054293,1.8963974,1.802843,1.7330197,1.6847368
69,0.6204866,0.6338032,0.5601418,0.7879919,1.3369339,1.5436807,1.3281795,1.6891775
70,1.4957331,1.1417087,1.3850348,1.0390278,2.5040433,1.9854529,3.3221028,2.158143
71,1.126703,1.1969385,1.051368,1.0650103,1.8742244,2.0466912,2.625369,2.356841
72,1.1826733,1.3017824,1.2800741,1.1942617,1.8398261,2.600752,2.5058904,1.9841654
73,1.2183957,1.091103,1.0496811,1.2416747,1.9822601,2.0176268,2.1986454,2.1252775
74,1.2796222,1.3381112,1.3394917,1.1571635,2.5731976,2.815213,2.5971222,2.3014505
75,1.2022556,1.219065,1.5690584,1.4877536,2.3242583,2.6310246,2.31086,2.7808676
76,1.3719474,1.2550582,1.3218801,1.315949,3.0375128,2.0482187,2.0786448,2.52434
77,1.4138082,1.3893409,1.1574163,1.2547892,3.2174652,2.895822,2.4910321,2.4399986
78,1.3992028,1.305072,1.3356969,1.2825211,2.5434475,2.5800753,2.046478,2.6252358
79,1.5682682,1.5063944,1.3542124,1.4315298,2.6457493,2.2196648,2.5105047,2.5253222
80,1.1868116,1.3817436,1.4295835,0.97328323,2.129337,2.5003533,3.2724123,1.7988396
81,0.7509167,0.8603729,0.90483904,0.97273576,1.9571308,1.8865907,1.8908172,1.8062168
82,1.0708227,1.1236451,1.1232407,0.9647279,2.0089896,1.8098626,2.1640015,2.0981464
83,1.2805744,1.2866988,1.2414937,1.3065536,2.0362997,3.0955093,2.298418,2.0473108
84,1.0305468,1.0686276,1.0076636,0.92276716,1.8646412,2.1288564,2.3625271,1.8738705
85,0.8459412,1.0929894,0.80856526,0.90763795,1.8306521,1.8936938,1.8182576,1.6389074
86,0.8087639,0.8906989,0.93813515,0.9191103,1.5053302,1.5197798,1.7439913,2.1320672
87,1.2459359,1.2934253,1.1592615,1.401444,2.0497596,2.5193925,2.0887592,2.822165
88,0.7908498,0.88403386,0.85850143,0.69976974,1.6485105,1.7015405,1.9570684,1.5784951
89,0.82608795,0.6805587,0.6147194,0.76239204,2.178355,1.460759,1.9811436,1.575702
