,tac0,tac1,tac2,tac3,sigma0,sigma1,sigma2,sigma3
370,-1.2231252,-0.81229985,-0.58738226,-0.43304443,1.36012,1.6665299,1.2762036,1.1599499
371,-1.5806332,-1.201799,-1.1129386,-0.91171515,0.9968454,1.1662078,1.1588175,1.1780905
372,-1.4409546,-1.1363226,-1.0760767,-0.7333603,2.5488398,1.9106965,1.4300632,1.4662164
373,-1.5882163,-1.2411442,-1.1367198,-0.917534,1.3268889,1.1375023,1.1868362,1.1482745
374,-1.3847336,-1.0954537,-0.9109954,-0.49579662,1.286966,1.3972583,1.3772194,1.4401121
375,-1.3698317,-1.0532523,-0.8911113,-0.6656309,1.4994602,1.4415319,1.0911238,1.2318411
376,-1.8643799,-1.5371802,-1.4527289,-1.208657,1.1526117,1.1835332,1.0574172,1.313569
377,-2.1299398,-1.839081,-1.7828794,-1.5069156,1.0751827,1.1028484,1.0397875,1.1298746
378,-1.0385364,-0.78261536,-0.68287694,-0.3464523,1.5482912,1.461123,1.1125783,1.5181326
379,-1.9437337,-1.4511371,-1.1782603,-0.97114,1.1245606,1.2380935,1.6588999,1.4479827
380,-1.1477504,-0.88254344,-0.6848969,-0.34862772,1.6107725,1.2636358,1.1875012,1.4115307
381,-2.1106284,-1.9556139,-1.8335061,-1.4160095,1.1064779,0.8905794,0.93324953,1.1235223
382,-1.8402449,-1.5743128,-1.384704,-1.1770458,1.7650204,2.4754276,2.1310394,2.116821
383,-1.682106,-1.4183393,-1.0887407,-0.99695474,1.1148438,0.8557812,1.2090358,1.1533974
